zeitstempel,sekunden,pitch,p,i,d,duty,position
18:37:04.912,0.0,-0.69,1.37,0.00,0.00,1,-182
18:37:04.912,0.011,-0.69,1.37,0.00,0.00,1,-182
18:37:04.913,0.022,-0.69,1.37,0.00,0.00,1,-182
18:37:04.913,0.033,-0.69,1.37,0.00,0.00,1,-182
18:37:04.913,0.045,-0.69,1.37,0.00,0.00,1,-182
18:37:04.914,0.057,-0.69,1.37,0.00,0.00,1,-182
18:37:04.914,0.068,-0.69,1.37,0.00,0.00,1,-182
18:37:04.914,0.079,-0.69,1.37,0.00,0.00,1,-182
18:37:04.914,0.09,-0.69,1.37,0.00,0.00,1,-182
18:37:04.915,0.101,-0.69,1.37,0.00,0.00,1,-182
18:37:04.915,0.113,-0.69,1.37,0.00,0.00,1,-182
18:37:04.915,0.124,-0.69,1.37,0.00,0.00,1,-182
18:37:04.918,0.136,-0.69,1.37,0.00,0.00,1,-182
18:37:04.919,0.147,-0.69,1.37,0.00,0.00,1,-182
18:37:04.919,0.158,-0.69,1.37,0.00,0.00,1,-182
18:37:04.919,0.169,-0.69,1.37,0.00,0.00,1,-182
18:37:04.920,0.18,-0.69,1.37,0.00,0.00,1,-182
18:37:04.920,0.191,-0.69,1.37,0.00,0.00,1,-182
18:37:04.920,0.202,-0.69,1.37,0.00,0.00,1,-182
18:37:04.921,0.213,-0.69,1.37,0.00,0.00,1,-182
18:37:05.020,0.225,-0.69,1.37,0.00,0.00,1,-182
18:37:05.021,0.237,-0.69,1.37,0.00,0.00,1,-182
18:37:05.021,0.248,-0.69,1.37,0.00,0.00,1,-182
18:37:05.021,0.259,-0.69,1.37,0.00,0.00,1,-182
18:37:05.021,0.27,-0.69,1.37,0.00,0.00,1,-182
18:37:05.021,0.281,-0.69,1.37,0.00,0.00,1,-182
18:37:05.022,0.292,-0.69,1.37,0.00,0.00,1,-182
18:37:05.022,0.303,-0.69,1.37,0.00,0.00,1,-182
18:37:05.022,0.314,-0.69,1.37,0.00,0.00,1,-182
18:37:05.022,0.326,-0.69,1.37,0.00,0.00,1,-182
18:37:05.023,0.338,-0.69,1.37,0.00,0.00,1,-182
